bitset_size	ram_usage
0	0.001711
1	0.001646
2	0.001713
3	0.001807
4	0.001728
5	0.001653
6	0.001789
7	0.001716
8	0.001727
9	0.001670
10	0.001735
11	0.001657
12	0.001754
13	0.001806
14	0.001646
15	0.001686
16	0.001641
17	0.001687
18	0.001768
19	0.001749
20	0.001816
21	0.001673
22	0.001709
23	0.001664
24	0.001703
25	0.001731
26	0.001808
27	0.001794
28	0.001758
29	0.001773
30	0.001696
31	0.001764
32	0.001718
33	0.001673
34	0.001641
35	0.001806
36	0.001808
37	0.001703
38	0.001696
39	0.001768
