bitset_size	ram_usage
0	0.001732
1	0.001678
2	0.001648
3	0.001783
4	0.001784
5	0.001798
6	0.001809
7	0.001816
8	0.001742
9	0.001699
10	0.001787
11	0.001642
12	0.001783
13	0.001648
14	0.001699
15	0.001740
16	0.001730
17	0.001799
18	0.001811
19	0.001693
20	0.001682
21	0.001653
22	0.001789
23	0.001753
24	0.001700
25	0.001800
26	0.001699
27	0.001704
28	0.001643
29	0.001820
30	0.001693
31	0.001789
32	0.001708
