problem_size	execution_time
2	2.272e-06
3	9.78e-07
4	1.054e-06
5	1.821e-06
6	3.657e-06
7	5.218e-06
8	1.0085e-05
9	2.0336e-05
10	4.2861e-05
11	8.5404e-05
12	0.000181581
13	0.000383719
14	0.000736989
15	0.00166418
16	0.00486018
17	0.00979524
18	0.0160509
19	0.0291148
20	0.0640061
21	0.137142
22	0.278059
23	0.584056
24	1.27902
25	2.43562
26	5.30928
27	11.3758
28	23.8441
29	51.3264
30	100.264
31	208.763
32	399.962
33	863.58
34	1780.95
35	3648.44
