bitset_size	execution_time
0	3.777e-06
1	1.429e-06
2	1.404e-06
3	1.769e-06
4	2.419e-06
5	3.788e-06
6	5.948e-06
7	9.245e-06
8	1.6281e-05
9	5.5607e-05
10	5.9399e-05
11	0.000109377
12	0.000184419
13	0.000615003
14	0.000678391
15	0.0015997
16	0.00307566
17	0.00611671
18	0.012618
19	0.0269002
20	0.0750973
21	0.127062
22	0.211716
23	0.429163
24	0.851619
25	1.76324
26	3.60197
27	7.40044
