bitset_size	execution_time
0	4.26e-07
1	5.44e-07
2	7.26e-07
3	1.071e-06
4	2.06e-06
5	1.943e-05
6	2.3788e-05
7	2.829e-05
8	5.1186e-05
9	7.7932e-05
10	0.000230379
11	0.00034332
12	0.00104332
13	0.00189364
14	0.00363525
15	0.00678812
16	0.015156
17	0.0325844
18	0.0670232
19	0.149497
20	0.31862
21	0.673659
22	1.38438
23	2.88782
24	6.07255
25	13.0272
26	27.3466
27	56.9496
28	120.077
29	243.86
30	484.473
31	1059.72
32	2162.96
